FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,manager,teamName,teamID,matchupNumber,TOV,FG3M,STL,totalWins,totalLosses,totalTies
0.5031712473572939,0.7784810126582279,70.0,669.0,236.0,116.0,41.0,36.0,66.0,238.0,473.0,123.0,158.0,Fabio,Cool Ballers ,428.l.2784.t.1,0,66.0,70.0,41.0,7.0,4.0,0.0
0.46421663442940037,0.8082191780821918,87.0,685.0,217.0,167.0,33.0,18.0,67.0,240.0,517.0,118.0,146.0,Alan,Batmo Beal,428.l.2784.t.4,0,67.0,87.0,33.0,3.0,8.0,0.0
0.5218253968253969,0.8287292817679558,61.0,737.0,194.0,184.0,32.0,27.0,85.0,263.0,504.0,150.0,181.0,Bryan,Balonso Ball,428.l.2784.t.2,1,85.0,61.0,32.0,4.0,7.0,0.0
0.5177304964539007,0.7443181818181818,67.0,782.0,236.0,186.0,56.0,30.0,65.0,292.0,564.0,131.0,176.0,Jack,Sengoon Squad,428.l.2784.t.10,1,65.0,67.0,56.0,10.0,1.0,0.0
0.486328125,0.7947019867549668,74.0,692.0,252.0,157.0,47.0,29.0,73.0,249.0,512.0,120.0,151.0,Kai,Bryguy23,428.l.2784.t.3,2,73.0,74.0,47.0,9.0,2.0,0.0
0.47974413646055436,0.7407407407407407,64.0,594.0,281.0,112.0,40.0,41.0,58.0,225.0,469.0,80.0,108.0,Eli,The Block Party ,428.l.2784.t.6,2,58.0,64.0,40.0,5.0,6.0,0.0
0.5354330708661418,0.7428571428571429,23.0,535.0,248.0,128.0,30.0,17.0,62.0,204.0,381.0,104.0,140.0,David,Dumpling Diddlers,428.l.2784.t.5,3,62.0,23.0,30.0,1.0,10.0,0.0
0.4721030042918455,0.8129496402877698,80.0,633.0,203.0,133.0,31.0,21.0,76.0,220.0,466.0,113.0,139.0,Kayla,NotThanos,428.l.2784.t.9,3,76.0,80.0,31.0,2.0,9.0,0.0
0.4661290322580645,0.7417582417582418,79.0,792.0,223.0,185.0,42.0,24.0,69.0,289.0,620.0,135.0,182.0,Gary,Nazel Tov,428.l.2784.t.7,4,69.0,79.0,42.0,6.0,5.0,0.0
0.468013468013468,0.7933333333333333,101.0,776.0,216.0,205.0,42.0,27.0,70.0,278.0,594.0,119.0,150.0,Yi Sheng,Stephen hawkings,428.l.2784.t.12,4,70.0,101.0,42.0,8.0,3.0,0.0
0.45664739884393063,0.8017241379310345,76.0,643.0,195.0,120.0,26.0,29.0,80.0,237.0,519.0,93.0,116.0,michaellee0407,Out Out Chu Chu Train ,428.l.2784.t.8,5,80.0,76.0,26.0,0.0,11.0,0.0
0.500768049155146,0.7956989247311828,94.0,894.0,235.0,222.0,36.0,47.0,86.0,326.0,651.0,148.0,186.0,Chi Yen,Daryl Morey is a liar ,428.l.2784.t.11,5,86.0,94.0,36.0,11.0,0.0,0.0
